year,population
1975,215.981
1976,218.086
1977,220.289
1978,222.629
1979,225.106
1980,227.726
1981,230.008
1982,232.218
1983,234.333
1984,236.394
1985,238.506
1986,240.683
1987,242.843
1988,245.061
1989,247.387
1990,250.181
1991,253.53
1992,256.922
1993,260.282
1994,263.455
1995,266.588
1996,269.714
1997,272.958
1998,276.154
1999,279.328
2000,282.398
2001,285.225
2002,287.955
2003,290.626
2004,293.262
2005,295.993
2006,298.818
2007,301.696
2008,304.543
2009,307.24
2010,309.808
2011,312.172
2012,314.499
2013,316.839
2014,319.173
2015,322.997
2016,325.487
2017,327.997
